Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,173.899994,176.404495,173.847000,175.464493,175.464493,54758000
2021-09-08,175.582504,177.281494,174.783493,176.274994,176.274994,61068000
2021-09-09,176.300995,177.499496,174.018494,174.207993,174.207993,54384000
2021-09-10,175.091507,175.422501,173.145493,173.457504,173.457504,47946000
2021-09-13,174.139999,174.897995,171.899994,172.858505,172.858505,51380000
2021-09-14,173.777496,174.340500,171.885498,172.500000,172.500000,38738000
2021-09-15,172.126007,174.270996,170.100494,173.789505,173.789505,59150000
2021-09-16,172.998001,174.627502,172.307007,174.412003,174.412003,51672000
2021-09-17,174.420502,174.870499,172.606506,173.126007,173.126007,92332000
2021-09-20,169.800003,170.949997,165.250504,167.786499,167.786499,93382000
2021-09-21,168.750000,168.985001,166.619507,167.181503,167.181503,55618000
